start,end,Reggie  #145,Thurman #119,Roy #153,Catfish #80,Lou #35,Graig #154,Ron #122,Chris #49,Bobby #10,Billy #25,Rick #147,Sandy #18
0:00:00,0:00:05,,X,,,,,,,,,,
0:00:05,0:00:10,,X,,X,,,,,,,,
0:00:10,0:00:15,,X,,,,,,,,,,
0:00:15,0:00:20,,,,,,,,,,,,
0:00:20,0:00:25,,X,,X,,X,,,,,,
0:00:25,0:00:30,,X,,X,,X,,,,,,
0:00:30,0:00:35,,,,,,,,,,,,
0:00:35,0:00:40,,X,,,,,,,,,,
0:00:40,0:00:45,,,,,,,,,,,,
0:00:45,0:00:50,,X,,,,,,,,,,
0:00:50,0:00:55,,,,,,,,,,,,
0:00:55,0:01:00,,X,,,,,,,,,,
0:01:00,0:01:05,,X,,X,,,,,,,,
0:01:05,0:01:10,,X,,,,X,,,,,,
0:01:10,0:01:15,,X,,,,X,,,,,,
0:01:15,0:01:20,,,,,,,,,,,,
0:01:20,0:01:25,,X,,,,,,,,,,
0:01:25,0:01:30,,,,,,,,,,,,
0:01:30,0:01:35,,X,,,,,,,,,,
0:01:35,0:01:40,,,,,,X,,,,,,
0:01:40,0:01:45,,,,,,,,,,,,
0:01:45,0:01:50,,X,,,,X,,,,,,
0:01:50,0:01:55,,X,,,,X,,X,,,,
0:01:55,0:02:00,,X,,,,X,,X,,,,
0:02:00,0:02:05,,,,,,,,,X,X,,
0:02:05,0:02:10,,,,,,,,,,,,
0:02:10,0:02:15,,,X,,,,,,,,,
0:02:15,0:02:20,X,,,,,,,,,,,
0:02:20,0:02:25,X,,,,,,,,,,,
0:02:25,0:02:30,X,,,,,,,,,,,
0:02:30,0:02:35,X,,,,,,,,,,,
0:02:35,0:02:40,X,,X,,,,,,,,,
0:02:40,0:02:45,X,,,,,,,,,,,
0:02:45,0:02:50,X,,,,,,,,,,,
0:02:50,0:02:55,X,,,,,,,,,,,
0:02:55,0:03:00,,,X,,,,,,,,,
0:03:00,0:03:05,X,,X,,,,,,,,,
0:03:05,0:03:10,X,,,,,,,,,,,
0:03:10,0:03:15,X,,,,,,,,,,,
0:03:15,0:03:20,X,,X,,,,,,,,,
0:03:20,0:03:25,X,,X,,,,,,,,,
0:03:25,0:03:30,,,X,,,,,,,,,
0:03:30,0:03:35,X,,,,,,,,,,,
0:03:35,0:03:40,X,,X,,,,,,,,,
0:03:40,0:03:45,X,,,X,X,,,,,,,
0:03:45,0:03:50,X,,,,X,,,,,,,
0:03:50,0:03:55,X,,,,,,,,,,,
0:03:55,0:04:00,X,,,,,,X,,,,,
0:04:00,0:04:05,X,,,,,,,,,,,
0:04:05,0:04:10,X,,,,,,,,,,,
0:04:10,0:04:15,X,,,,,,X,,,,,
0:04:15,0:04:20,X,,,,,,,,,,,
0:04:20,0:04:25,X,,,,,,X,,,,,
0:04:25,0:04:30,X,,,,,,X,,,,,
0:04:30,0:04:35,X,,,,,,X,,,,,
0:04:35,0:04:40,X,,,,,,,,,,,
0:04:40,0:04:45,X,,,,,,X,,,,,
0:04:45,0:04:50,X,,,,,,X,,,,,
0:04:50,0:04:55,X,,,,,,X,,,,,
0:04:55,0:05:00,X,,,,,,,,,,,
0:05:00,0:05:05,X,,,,,,,,,,X,
0:05:05,0:05:10,X,,,,,,,,,,,
0:05:10,0:05:15,X,,,,,,,,,,,
0:05:15,0:05:20,X,,,,,,,,,,,
0:05:20,0:05:25,X,,,,,,,,,,X,
0:05:25,0:05:30,X,,,,,,,,,,,
0:05:30,0:05:35,X,,,,,,,,,,X,
0:05:35,0:05:40,X,,,,,,,,,,X,
0:05:40,0:05:45,X,,,,,,,,,, ,
0:05:45,0:05:50,X,,,,,,,,,,,
0:05:50,0:05:55,X,,,,,,,,,,,
0:05:55,0:06:00,X,,,,,,,,,,,
0:06:00,0:06:05,X,,,,,,,,,,,
0:06:05,0:06:10,X,,,,,,,,,,,
0:06:10,0:06:15,X,,,,,,,,,,X,
0:06:15,0:06:20,X,,,,,,,,,,X,
0:06:20,0:06:22,X,,,,,,,,,,,